ID_ENCUESTA;ID_VEHICULO;TIPOVEHICULO;COMBUSTIBLE;MUNICIPIO_MATRICULA;PERTENECE_VEHICULO;PERSONA_DUENOVEHICULO;EXENTO_PICOYPLACA;RAZON_EXENTO;DONDE_GUARDAVEHICULO;VALOR_PARQUEO
18552757;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18553357;1;Automovil;Solo gasolina;377;S;S;N;vacio;Garaje/parqueadero propio;
18556345;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18556479;1;Moto;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18556775;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18556775;2;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
18556775;3;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
18563080;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18563302;1;Automovil;GNV;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18563302;3;Taxi;GNV;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18566809;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18567330;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18567399;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18567399;2;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18567400;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18567404;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18567574;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18567690;1;Moto;Solo gasolina;SOACHA;S;N;N;vacio;Garaje/parqueadero propio;
18568035;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568096;1;Campero;GNV y gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568701;1;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
18568719;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568731;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18568732;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568733;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568776;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568776;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18568785;1;Moto;Solo gasolina;CUNDINAMARCA;S;;S;;Garaje/parqueadero propio;
18568788;1;Moto;Solo gasolina;FUZAGASUGA;S;S;S;;Garaje/parqueadero propio;
18568837;1;Campero;GNV y gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18568881;1;Moto;Solo gasolina;CUNDINAMARCA;S;S;S;;Garaje/parqueadero propio;
18568888;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569138;1;Automovil;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569139;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569139;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569139;3;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569140;1;Automovil;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569140;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569171;1;Taxi;Solo gasolina;473;S;S;N;vacio;Garaje/parqueadero propio;
18569202;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18569285;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569299;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569299;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18569501;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18569503;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18569509;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569549;1;Automovil;Solo gasolina;PASTO;S;N;N;vacio;Garaje/parqueadero propio;
18569550;1;Campero;GNV;1101;S;N;N;vacio;Garaje/parqueadero propio;
18569550;2;Taxi;Solo gasolina;1101;;;N;vacio;Garaje/parqueadero propio;
18569550;3;Taxi;Solo gasolina;1101;;;N;vacio;Garaje/parqueadero propio;
18569550;4;Taxi;Solo gasolina;1101;;;N;vacio;Garaje/parqueadero propio;
18569550;5;Otro;Solo gasolina;1101;;;N;vacio;Garaje/parqueadero propio;
18569550;6;Otro;Solo gasolina;1101;;;N;vacio;Garaje/parqueadero propio;
