ID_ENCUESTA;ID_VEHICULO;TIPOVEHICULO;COMBUSTIBLE;MUNICIPIO_MATRICULA;PERTENECE_VEHICULO;PERSONA_DUENOVEHICULO;EXENTO_PICOYPLACA;RAZON_EXENTO;DONDE_GUARDAVEHICULO;VALOR_PARQUEO
19075902;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19075903;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19075904;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19075906;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19075907;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19075909;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19075910;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19075963;1;Automovil;Solo gasolina;CARTAGENA;S;N;N;vacio;Garaje/parqueadero propio;
19076054;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19078201;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19078211;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19078211;2;Automovil;Solo gasolina;1101;S;;N;vacio;Garaje/parqueadero propio;
19078213;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19078215;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19080018;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19080018;2;Moto;Solo gasolina;ZIPAQUIRA;S;S;N;vacio;Garaje/parqueadero propio;
19080021;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19080022;1;Automovil;Solo gasolina;MOSQUERA;S;S;N;vacio;Garaje/parqueadero propio;
19080023;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19080402;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
19080403;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19080410;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19080888;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19080888;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19080888;3;Campero;Solo gasolina;1101;S;;N;vacio;Garaje/parqueadero propio;
19080962;1;Moto;Solo gasolina;BOGOTA;N;;S;;Garaje/parqueadero propio;
19080963;2;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
19081071;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081073;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19081074;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19081103;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081116;2;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081401;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081402;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081402;2;Automovil;Solo gasolina;MEDELLIN;S;S;N;vacio;Garaje/parqueadero propio;
19081402;3;Automovil;Solo gasolina;286;S;N;N;vacio;Garaje/parqueadero propio;
19081402;4;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19081402;5;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19081402;6;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19081406;3;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19081406;4;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19081424;1;Automovil;GNV y gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081425;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081426;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081426;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19081427;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19081433;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081435;1;Automovil;Solo gasolina;COTA;S;S;N;vacio;Garaje/parqueadero propio;
19081436;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081437;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081445;1;Automovil;Solo gasolina;175;S;S;N;vacio;Garaje/parqueadero propio;
19081458;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081458;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19081459;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081460;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081460;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081464;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19081703;1;Automovil;GNV y gasolina;ZIPAQUIRA;S;S;N;vacio;Garaje/parqueadero propio;
19081705;1;Moto;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19082050;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082101;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19082113;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19082188;1;Pick Up;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19082272;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082274;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082275;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082276;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082374;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19082455;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
19082566;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19082684;1;Automovil;Solo gasolina;ARMENIA;S;S;N;vacio;Garaje/parqueadero propio;
19082688;1;Automovil;Solo gasolina;889;S;N;N;vacio;Garaje/parqueadero propio;
19082688;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082692;1;Taxi;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082833;1;Automovil;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19082834;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082924;1;Moto;Solo gasolina;BOGOTA;S;S;S;Transporte especial;Garaje/parqueadero propio;
19082940;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19082940;2;Moto;Solo gasolina;BOGOTA;S;S;S;Transporte especial;Garaje/parqueadero propio;
19082945;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083001;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19083102;1;Moto;Solo gasolina;ROSAL;S;S;S;;Garaje/parqueadero propio;
19083249;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19083614;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083615;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083616;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083617;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19083618;1;Automovil;Solo gasolina;CAJICA;S;S;N;vacio;Garaje/parqueadero propio;
19083627;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083628;1;Automovil;Solo gasolina;CHIA;S;S;N;vacio;Garaje/parqueadero propio;
19083628;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19083629;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083629;2;Automovil;Solo gasolina;SOACHA;S;N;N;vacio;Garaje/parqueadero propio;
19083630;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083631;1;Automovil;Solo gasolina;CHIA;S;S;N;vacio;Garaje/parqueadero propio;
19083631;2;Automovil;Solo gasolina;CAJICA;S;S;N;vacio;Garaje/parqueadero propio;
19083631;3;Automovil;Solo gasolina;CHIA;S;N;N;vacio;Garaje/parqueadero propio;
19083631;4;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19083632;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083632;2;Campero;Solo gasolina;CAJICA;S;S;N;vacio;Garaje/parqueadero propio;
19083633;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083633;2;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19083694;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19083706;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19084115;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19084117;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19084380;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19084380;2;Campero;Solo gasolina;CHIA;S;N;S;Empresa de servicios publicos;Garaje/parqueadero propio;
19084382;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19084746;1;Bicicleta a Motor (Adultos);Solo gasolina;0;S;S;N;vacio;Garaje/parqueadero propio;
19085048;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19085048;2;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19085052;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085055;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085120;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085120;2;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085121;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19085122;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085122;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19085123;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085124;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085125;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085125;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19085126;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085146;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19085146;2;Moto;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19085147;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085149;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085150;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085151;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085268;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085268;2;Campero;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19085361;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19085461;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19085470;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085472;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085473;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085583;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085585;1;Otro;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19085661;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085661;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085665;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085668;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19085670;1;Moto;Solo gasolina;IBAGUE;S;S;N;vacio;Garaje/parqueadero propio;
19086050;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086051;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19086052;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19086208;1;Moto;Solo gasolina;377;S;S;S;;Garaje/parqueadero propio;
19086294;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19086440;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086440;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19086441;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086445;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19086449;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086450;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086725;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19086758;1;Automovil;Solo gasolina;BOGOTA;S;S;S;Empresa de servicios publicos;Garaje/parqueadero propio;
19086759;1;Automovil;Solo gasolina;377;S;;N;vacio;Garaje/parqueadero propio;
19086759;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
19086763;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086822;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086822;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19086823;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086832;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19086832;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19087192;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087192;2;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087196;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087733;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19087816;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087818;1;Automovil;Diesel;BOGOTA;;;N;vacio;Garaje/parqueadero propio;
19087832;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087833;1;Automovil;Solo gasolina;CHIA;S;S;N;vacio;Garaje/parqueadero propio;
19087833;2;Campero;Diesel;CHIA;S;S;S;;Garaje/parqueadero propio;
19087834;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19087836;1;Automovil;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19087836;2;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087837;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087838;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19087842;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19087842;2;Camion;Solo gasolina;LA CALERA;S;N;S;;Garaje/parqueadero propio;
19088421;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19088443;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19088443;2;Moto;Solo gasolina;754;S;S;S;;Garaje/parqueadero propio;
19089801;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19089801;2;Bicicleta a Motor (Adultos);Electrico;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19089803;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19089807;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19089807;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19089813;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19089816;1;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
19089817;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19089827;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19089828;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19089830;1;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
19093345;1;Automovil;Solo gasolina;1100Q;S;S;N;vacio;Garaje/parqueadero propio;
19093345;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19093349;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19093349;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19093350;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19093353;1;Automovil;GNV y gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19093354;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
19093354;2;Taxi;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19093357;1;Automovil;Solo gasolina;BOGOTA;;;N;vacio;Garaje/parqueadero propio;
19093358;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19094068;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19094069;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19094070;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19094070;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19096893;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19096893;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19096973;1;Moto;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19096976;1;Moto;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19099768;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19099779;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19099783;1;Moto;Solo gasolina;COTA;S;S;S;;Garaje/parqueadero propio;
19099936;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099936;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099938;1;Automovil;Solo gasolina;CHIA;S;;N;vacio;Garaje/parqueadero propio;
19099939;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19099940;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099941;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19099943;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099945;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099945;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099945;3;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19099946;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099950;1;Moto;Solo gasolina;CALARCA-QUINDIO;S;;N;vacio;Garaje/parqueadero propio;
19099955;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099955;2;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099956;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19099957;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099958;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099960;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19099960;2;Moto;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19100153;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19100983;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19101099;1;Automovil;Solo gasolina;377 LA CALERA;S;S;N;vacio;Garaje/parqueadero propio;
19101099;2;Campero;Solo gasolina;175 CHIA;S;S;N;vacio;Garaje/parqueadero propio;
19101288;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
19101292;1;Moto;Solo gasolina;YOPAL CASANRE;S;;S;;Garaje/parqueadero propio;
19101298;1;Automovil;Solo gasolina;COTA;S;S;N;vacio;Garaje/parqueadero propio;
19101298;2;Moto;Solo gasolina;CALERA;S;S;S;;Garaje/parqueadero propio;
19101301;1;Moto;Solo gasolina;FUSA;S;S;S;;Garaje/parqueadero propio;
19101301;2;Moto;Solo gasolina;FUSA;S;;S;;Garaje/parqueadero propio;
19101304;1;Moto;Solo gasolina;IBAGUÿ�O;S;S;S;;Garaje/parqueadero propio;
19101436;1;Moto;Solo gasolina;175;S;S;S;;Garaje/parqueadero propio;
19101439;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19101440;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19102397;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19102397;2;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19102734;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19104912;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19104912;2;Automovil;Diesel;SOACHA;S;N;N;vacio;Garaje/parqueadero propio;
19105227;1;Campero;GNV y gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19105880;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19105880;2;Automovil;Solo gasolina;BOGOTA;;;N;vacio;Garaje/parqueadero propio;
19105887;1;Moto;Solo gasolina;BOJOTA;S;S;S;;Garaje/parqueadero propio;
19107094;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19107094;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19107095;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19107095;2;Campero;Diesel;BUCARAMANGA;S;N;N;vacio;Garaje/parqueadero propio;
19107244;2;Moto;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19107245;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19107249;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19107836;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19107836;2;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
19109231;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19110424;1;Automovil;Solo gasolina;MOSQUERA;S;S;N;vacio;Garaje/parqueadero propio;
19111069;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
19111144;1;Moto;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19112207;1;Bicicleta a Motor (Adultos);Electrico;0;S;S;S;;Garaje/parqueadero propio;
19112258;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19112259;1;Automovil;Solo gasolina;BOGOTA;;;N;vacio;Garaje/parqueadero propio;
19112262;1;Automovil;GNV y gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19112263;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19112891;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
19112891;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
19112892;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19112893;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19113052;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
19113053;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
19113054;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
