"Origen";"Destino";"Min";"Max"
904;902;109.425554616635;607.819019618345
903;904;24.2037364539459;82.9593602832992
903;902;2.96948213205506;10.1780292690228
902;901;52.3335139205807;1760.26318687372
902;900;75.9597070809353;1269.29307056746
902;904;49.9017644477012;607.819019618345
901;900;524.748694119514;4951.75052838622
901;902;173.509650774011;1774.78619879622
900;901;159.153671979103;5258.48305983685
900;902;235.608756593827;1300.45602731861
787;782;69.3406491687575;237.668093420799
787;781;166.417558005018;570.403424209918
787;779;26.8415416137126;92.0005522919222
785;779;126.073907579559;432.123806219635
785;781;46.2270994458383;158.445395613866
785;778;39.6232280964327;135.810339097599
784;768;46.2270994458383;158.445395613866
783;765;46.2270994458383;158.445395613866
781;560;408.409401315595;1399.84100104938
781;787;166.417558005018;570.403424209918
781;507;34.6703245843789;118.8340467104
773;787;73.9633591133414;253.512632982186
770;773;101.699618780844;348.579870350505
770;771;92.4541988916766;316.890791227732
769;779;69.3406491687575;237.668093420799
768;560;277.36259667503;950.672373683196
570;562;116.688400375885;399.954571728396
567;550;136.136467105199;466.613667016462
567;562;77.7922669172564;266.636381152264
564;544;23.6759073226432;81.1502029593846
563;557;1583.65850623769;1739.19639524318
562;765;60.5050964911993;207.383852007316
560;781;408.409401315595;1399.84100104938
560;146;148.445418542516;508.803133875887
560;702;90.757644736799;311.075778010974
560;768;277.36259667503;950.672373683196
560;544;242.020385964798;829.535408029265
560;542;45.3788223683995;155.537889005487
560;567;27.4762256320452;94.17595939252
557;560;155.537889005487;466.613667016462
557;563;155.537889005487;1739.19639524318
557;553;108.909173684159;373.29093361317
551;528;435.636694736637;1493.16373445268
550;548;622.151556021948;933.227334032922
550;544;311.075778010974;933.227334032922
548;550;311.075778010974;933.227334032922
544;543;242.020385964798;829.535408029266
544;589;239.430225922233;820.657521733841
544;564;23.6759073226432;81.1502029593846
543;544;414.767704014633;829.535408029266
528;551;435.636694736637;1493.16373445268
526;524;75.1971541596934;257.741519210592
134;94;554.503452286251;1900.58472021781
122;114;165.269573306926;566.468656685491
118;119;174.911173484602;599.515660992836
108;106;78.5546557405521;269.249502030856
107;148;261.848852468507;897.498340102853
106;79;589.159918054141;2019.37126523142
103;141;204.063035732036;699.434937824976
103;102;2623.66760226904;8992.73491489256
103;100;1311.83380113452;4496.36745744628
102;103;2623.66760226904;8992.73491489256
101;96;182.199139046461;624.495480200871
100;103;1311.83380113452;4496.36745744628
94;134;554.503452286251;1900.58472021781
93;94;112.220936772217;384.642145758366
91;67;314.218622962207;1076.99800812342
