"AREA";"Zona_Num_N";"id";"LocNombre";"Latitud";"Longitud"
0.32;64;783;"SUBA";4.7332658;-74.0528044
0.24;65;784;"SUBA";4.7369113;-74.0521983
0.79;50;785;"SUBA";4.7426046;-74.0541025
0.48;53;786;"USAQUEN";4.7424927;-74.0418312
0.76;52;787;"USAQUEN";4.7468675;-74.0415884
0.64;54;788;"USAQUEN";4.7434388;-74.0344024
0.51;61;789;"USAQUEN";4.7356447;-74.035149
0.52;22;790;"USAQUEN";4.7526866;-74.0369041
0.47;21;791;"USAQUEN";4.7477016;-74.0276864
0.64;55;792;"USAQUEN";4.7451092;-74.0268947
0.54;56;793;"USAQUEN";4.7394902;-74.0275935
0.41;59;794;"USAQUEN";4.7347206;-74.0281426
0.36;60;795;"USAQUEN";4.7311597;-74.0279798
0.25;23;796;"USAQUEN";4.7585555;-74.0340348
0.33;17;797;"USAQUEN";4.7539728;-74.0275931
0.25;116;798;"SUBA";4.7460993;-74.1175016
0.52;117;799;"SUBA";4.7459642;-74.1256381
0.32;118;800;"SUBA";4.7406716;-74.1279037
1.05;115;801;"SUBA";4.7421711;-74.117667
0.94;114;802;"SUBA";4.7385143;-74.1121701
0.6;113;803;"SUBA";4.7320257;-74.1075952
0.53;110;804;"SUBA";4.7463098;-74.1025915
0.52;106;805;"SUBA";4.7347561;-74.0922077
0.39;109;806;"SUBA";4.7425345;-74.1007925
0.31;111;807;"SUBA";4.7410164;-74.1046957
0.52;108;808;"SUBA";4.7418428;-74.0935469
0.31;90;809;"SUBA";4.7189855;-74.0596352
0.36;14;810;"USAQUEN";4.7593222;-74.0224189
0.48;13;811;"USAQUEN";4.7651182;-74.0257019
0.2;16;812;"USAQUEN";4.7575393;-74.028541
0.09;15;813;"USAQUEN";4.7600746;-74.0288894
0.46;12;814;"USAQUEN";4.7647575;-74.0292134
0.91;11;815;"USAQUEN";4.7628459;-74.0376753
0.48;77;816;"USAQUEN";4.7265826;-74.0288164
0.46;63;817;"USAQUEN";4.7336255;-74.0472279
0.18;26;818;"USAQUEN";4.7531032;-74.0444917
0.67;25;819;"USAQUEN";4.7532748;-74.0405573
0.18;24;820;"USAQUEN";4.7585727;-74.0387864
0.09;844;835;"TEUSAQUILLO";4.6281604;-74.093672
0.39;340;870;"TEUSAQUILLO";4.6292298;-74.0768382
0.87;997;876;"TEUSAQUILLO";4.6422569;-74.104302
0.28;835;879;"ENGATIVA";4.7093604;-74.1319104
0.88;42;880;"SUBA";4.7458709;-74.0793584
0.41;43;881;"SUBA";4.7454616;-74.0743
0.68;838;882;"SUBA";4.7352638;-74.0646244
0.77;94;883;"SUBA";4.723784;-74.0694426
0.28;32;884;"SUBA";4.7552659;-74.0778366
0.4;212;885;"ENGATIVA";4.6731229;-74.0966905
0.45;213;886;"ENGATIVA";4.6710322;-74.0933965
0.12;334;888;"TEUSAQUILLO";4.6289323;-74.0898194
0.07;845;889;"CHAPINERO";4.6283136;-74.0606219
0.26;846;890;"TEUSAQUILLO";4.6471443;-74.0769647
0.26;247;891;"CHAPINERO";4.6602064;-74.0591407
0.18;254;892;"CHAPINERO";4.6557911;-74.0612121
0.17;166;893;"CHAPINERO";4.6816151;-74.0511527
0.45;144;894;"USAQUEN";4.6900044;-74.0541063
0.38;145;895;"USAQUEN";4.6959951;-74.0531178
0.47;146;896;"USAQUEN";4.7022318;-74.051832
0.45;853;897;"SUBA";4.7018194;-74.0602667
0.85;58;898;"USAQUEN";4.7337844;-74.0166415
0.97;28;899;"SUBA";4.7623304;-74.0601933
0.39;10;900;"USAQUEN";4.7668947;-74.042066
0.26;7;901;"USAQUEN";4.7736391;-74.0411455
2.46;4;902;"SUBA";4.7850801;-74.0499581
1.35;3;903;"USAQUEN";4.8148981;-74.0309044
3.62;2;904;"SUBA";4.8199856;-74.0662688
0.44;141;905;"SUBA";4.6985787;-74.0605424
