"Latitud";"Longitud";"Numero_Intersecciones";"LTS";"ID_Nodo"
4.6199385;-74.0261903;2;2;168
4.6199436;-74.0208638;2;1;169
4.6199602;-74.0754062;3;4;170
4.6199992;-74.0721588;3;2;171
4.6200072;-74.0043225;1;1;172
4.6200272;-74.0754398;3;4;173
4.6200293;-74.0209073;2;1;174
4.6200294;-74.0236431;2;2;175
4.6200307;-74.0259376;2;2;176
4.6200368;-74.0235837;2;2;177
4.6200464;-74.0753021;2;4;178
4.6200539;-74.0237228;2;2;179
4.6200934;-74.0237489;2;2;180
4.620094;-74.0718454;2;2;181
4.6200952;-74.0234112;2;2;182
4.6201047;-74.0209012;2;1;183
4.6201077;-74.0751999;2;4;184
4.6201105;-74.0255956;2;2;185
4.6201203;-74.07531;2;4;186
4.6201381;-74.0237316;2;2;187
4.6201576;-74.0743628;2;4;188
4.6201756;-74.0752134;2;4;189
4.6201757;-74.0750284;2;4;190
4.6201873;-74.0236823;2;2;191
4.6201912;-74.0749491;4;4;192
4.6201941;-74.0748477;4;4;193
4.6201996;-74.0252444;2;2;194
4.6201996;-74.0232787;2;2;195
4.6202133;-74.0743489;2;4;196
4.6202149;-74.0249579;2;2;197
4.6202207;-74.0751012;2;4;198
4.6202587;-74.0043577;2;1;199
4.6202588;-74.0749656;4;4;200
4.6202647;-74.0743223;2;4;201
4.6202733;-74.0748715;4;4;202
4.6202863;-74.0743992;2;4;203
4.6202917;-74.0236176;2;2;204
4.6202978;-74.0247699;2;2;205
4.6202985;-74.0742937;2;4;206
4.6203038;-74.0743633;2;4;207
4.6203219;-74.0743377;2;4;208
4.6203222;-74.0702934;1;2;209
4.6203259;-74.0742609;3;4;210
4.6203453;-74.0743131;2;4;211
4.6203467;-74.0230811;2;2;212
4.620354;-74.0742675;2;4;213
4.6203556;-74.0703455;4;2;214
4.6203776;-74.0740555;3;4;215
4.6203946;-74.0742769;5;4;216
4.6203969;-74.0703265;2;2;217
4.6204023;-74.0236084;2;2;218
4.6204055;-74.0702534;1;4;219
4.6204087;-74.0704317;2;4;220
4.6204207;-74.0245696;2;2;221
4.6204299;-74.0230232;2;2;222
4.6204403;-74.0703037;4;4;223
4.620449;-74.070497;2;4;224
4.6204689;-74.0207349;2;1;225
4.6204892;-74.0703818;2;4;226
4.6204973;-74.0735594;3;4;227
4.6205128;-74.0236577;2;2;228
4.6205253;-74.0702674;2;2;229
4.6205258;-74.0727645;3;2;230
4.6205299;-74.022996;2;2;231
4.6205325;-74.0706335;2;4;232
4.6205325;-74.0043896;2;1;233
4.6205359;-74.0734005;2;4;234
4.620537;-74.0704648;2;4;235
4.6205408;-74.0727503;2;1;236
4.6205473;-74.0727413;2;1;237
4.6205531;-74.0725872;3;2;238
4.6205553;-74.0727268;2;1;239
4.6205648;-74.0727043;2;1;240
4.6205653;-74.0726122;2;1;241
4.6205662;-74.0207612;2;1;242
